MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
368926035,2023-01-01T00:00:05,38.65165,90.17964,0.1,360.0,511.0,KIMMSWICK,,AENA,33,15,,,,33,A
367647050,2023-01-01T00:00:04,30.16506,-90.99936,6.3,161.4,511.0,USS CAIRO,,WDH7325,31,0,20,,,31,A
352001704,2023-01-01T00:00:04,28.91963,-94.37033,14.7,97.5,97.0,ENEOS EXPLORER,IMO9935492,3E2723,80,0,230,36,11.7,80,A
367104060,2023-01-01T00:00:00,34.33537,-119.56046,14.8,202.9,511.0,ALAN T,IMO8982577,WDC9571,60,15,28,7,,0,A
367099730,2023-01-01T00:00:02,26.53889,-97.40485,0.0,360.0,511.0,JESSIE M,,WDJ2892,52,0,0,0,0.0,52,A
367579120,2023-01-01T00:00:03,29.32348,-94.78112,0.0,248.5,511.0,TERRY FONTENOT,,WDG8590,31,0,16,7,,52,A
367015890,2023-01-01T00:00:09,39.85300,-75.24165,0.0,360.0,511.0,DOROTHY J,,WDC3893,31,0,19,7,,31,A
366995260,2023-01-01T00:00:01,30.47154,-91.19402,0.6,166.3,183.0,CAPT JAMES HOOVER,,WDC2583,31,0,16,6,,52,A
538008717,2023-01-01T00:00:01,23.64963,-83.18562,5.7,269.0,274.0,VELOS FORTUNA,IMO9347310,V7A2686,89,0,182,32,7.5,89,A
368261060,2023-01-01T00:00:06,30.51808,-91.22525,9.8,246.6,246.0,AMERICAN SYMPHONY,,,60,0,100,18,0.0,60,A
367321680,2023-01-01T00:00:04,30.72482,-88.05849,0.0,319.7,511.0,BEN R JOHNSON,,WDE2189,31,,17,6,,,B
367745570,2023-01-01T00:00:01,29.72929,-95.05452,0.0,33.5,147.0,QUINCEY CENAC,,WDI9133,31,12,,,,57,A
367610770,2023-01-01T00:00:04,27.95320,-82.44167,0.0,360.0,511.0,MR DUCK,,WDH3774,31,15,15,6,,52,A
338224354,2023-01-01T00:00:02,47.64484,-122.31189,0.0,360.0,511.0,WAYFINDER,IMO0000000,,37,,10,3,,,B
367476050,2023-01-01T00:00:02,46.09354,-122.92420,0.0,150.7,107.0,CLACKAMAS,,WDF6614,31,0,20,6,,33,A
316047734,2023-01-01T00:00:05,49.31105,-123.09294,0.0,360.0,511.0,FINNESS,IMO0000000,,37,,17,5,,,B
368233490,2023-01-01T00:00:06,41.17235,-72.81058,7.4,85.4,87.0,MULBERRY,,WDM7381,57,12,18,7,2.2,57,A
368012890,2023-01-01T00:00:06,35.52699,-89.95959,0.0,294.6,511.0,MISS KIM,,WDJ8080,31,0,18,7,,31,A
367474680,2023-01-01T00:00:08,29.70320,-91.22162,0.0,250.3,511.0,CUSTOM,,WDF6479,31,0,17,7,,57,A
311073800,2023-01-01T00:00:08,29.23330,-94.45173,0.0,343.7,85.0,EURO,IMO9567702,C6AA5,80,1,274,48,13.7,80,A
368216680,2023-01-01T00:00:00,47.30360,-122.50945,2.9,143.1,143.0,MISTAKES WERE MADE,IMO0000000,,37,,10,6,,,B
338192032,2023-01-01T00:00:03,47.67331,-122.20882,0.0,168.0,511.0,TAINA,IMO0000000,,37,,17,7,,,B
316050437,2023-01-01T00:00:09,49.29301,-123.04469,0.0,0.0,181.0,SENTINEL 304,,CFA3844,90,15,74,20,0.0,90,A
